"sa2_code","date","hour","count","seasonal","trend","normalised_count","cluster_id"
257900,2018-05-06,6,2709,0.663655664646422,2708.3363443353537,2709,1.0
257900,2018-05-06,7,2727,18.542627378029916,2708.45737262197,2727,1.0
257900,2018-05-06,8,2772,41.153003930320146,2730.84699606968,2772,1.0
257900,2018-05-06,9,2775,55.667997883880616,2719.3320021161194,2775,1.0
257900,2018-05-06,10,2784,58.403312746250585,2725.596687253749,2784,1.0
257900,2018-05-06,11,2796,53.443149072284115,2742.556850927716,2796,1.0
257900,2018-05-06,12,2748,47.58276412511372,2700.4172358748865,2748,1.0
257900,2018-05-06,13,2754,44.785396091699866,2709.2146039083,2754,1.0
257900,2018-05-06,14,2751,42.27362969850314,2708.726370301497,2751,1.0
257900,2018-05-06,15,2751,32.179909749298595,2718.8200902507015,2751,1.0
257900,2018-05-06,16,2742,6.4296472492170516,2735.570352750783,2742,1.0
257900,2018-05-06,17,2754,-37.58883960379685,2791.5888396037967,2754,1.0
257900,2018-05-06,18,2619,-94.39544872463247,2713.3954487246324,2619,1.0
257900,2018-05-06,19,2502,-151.33525116277227,2653.335251162772,2502,1.0
257900,2018-05-06,20,2469,-195.38986991659291,2664.389869916593,2469,1.0
257900,2018-05-06,21,2532,-219.9215052175294,2751.9215052175296,2532,1.0
257900,2018-05-06,22,2559,-228.0905368852079,2787.0905368852077,2559,1.0
257900,2018-05-06,23,2511,-230.33117512421632,2741.3311751242163,2511,1.0
257900,2018-05-07,0,2460,-238.25222626304244,2698.2522262630423,2460,1.0
257900,2018-05-07,1,2448,-258.4627053945983,2706.4627053945983,2448,1.0
257900,2018-05-07,2,2385,-288.94572973279594,2673.945729732796,2385,1.0
257900,2018-05-07,3,2448,-319.4539327228407,2767.453932722841,2448,1.0
257900,2018-05-07,4,2397,-337.6317594066738,2734.6317594066736,2397,1.0
257900,2018-05-07,5,2355,-334.17559602307335,2689.1755960230735,2355,1.0
257900,2018-05-07,6,2415,-308.054850846677,2723.0548508466773,2415,1.0
257900,2018-05-07,7,2460,-267.1807706589832,2727.1807706589834,2460,1.0
257900,2018-05-07,8,2508,-223.48954585910607,2731.489545859106,2508,1.0
257900,2018-05-07,9,2526,-187.2529906727491,2713.252990672749,2526,1.0
257900,2018-05-07,10,2559,-162.75511756879348,2721.7551175687936,2559,1.0
257900,2018-05-07,11,2580,-148.32170558734455,2728.3217055873447,2580,1.0
257900,2018-05-07,12,2568,-139.4718678375346,2707.471867837535,2568,1.0
257900,2018-05-07,13,2571,-133.1181863818855,2704.1181863818856,2571,1.0
257900,2018-05-07,14,2577,-131.02230838462356,2708.0223083846236,2577,1.0
257900,2018-05-07,15,2580,-138.78788714971222,2718.7878871497123,2580,1.0
257900,2018-05-07,16,2571,-161.8621397461842,2732.8621397461843,2571,1.0
257900,2018-05-07,17,2577,-200.9339248332735,2777.9339248332735,2577,1.0
257900,2018-05-07,18,2448,-249.96231904896317,2697.9623190489633,2448,1.0
257900,2018-05-07,19,2358,-297.3422166904278,2655.342216690428,2358,1.0
257900,2018-05-07,20,2340,-332.20163308973446,2672.2016330897345,2340,1.0
257900,2018-05-07,21,2406,-350.1812997223135,2756.1812997223133,2406,1.0
257900,2018-05-07,22,2427,-355.9398008879301,2782.9398008879302,2427,1.0
257900,2018-05-07,23,2349,-360.1321856694507,2709.132185669451,2349,1.0
257900,2018-05-08,0,2334,-373.2559964701567,2707.255996470157,2334,1.0
257900,2018-05-08,1,2253,-400.26844388951287,2653.268443889513,2253,1.0
257900,2018-05-08,2,2262,-436.6128469662976,2698.6128469662976,2262,1.0
257900,2018-05-08,3,2289,-470.75633333464384,2759.756333334644,2289,1.0
257900,2018-05-08,4,2256,-489.4150187545237,2745.415018754524,2256,1.0
257900,2018-05-08,5,2211,-483.8052341834944,2694.8052341834946,2211,1.0
257900,2018-05-08,6,2235,-454.22467559823406,2689.224675598234,2235,1.0
257900,2018-05-08,7,2310,-410.1048125439783,2720.1048125439784,2310,1.0
257900,2018-05-08,8,2355,-365.0811144464984,2720.0811144464983,2355,1.0
257900,2018-05-08,9,2367,-330.25229807763816,2697.252298077638,2367,1.0
